"id","fullname","shortname","number","category","vid_uchrezhdeniya","organiz_pravov_forma","podchinenie","address","telephone","email","location"
694, Муниципальное бюджетное дошкольное образовательное учреждение городского округа Щербинка в городе Москве детский сад комбинированного вида № 8 «Аист», МБДОУ детский сад комбинированного вида № 8 «Аист», 8, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Троицкое и новомосковское окружное управление образования," 142171, Москва Город, Щербинка Город, Остафьевская Улица, 2",#Н/Д, mdoyAIST@mail.ru,POINT (37.5285577 55.51283129999999)
695, Государственное бюджетное образовательное учреждение города Москвы детский сад № 1779, ГБОУ детский сад № 1779,"1 779", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Восточное окружное управление образования," 109386, Москва, Краснодонская улица дом 1 корпус 2",(495) 350-51-29, detsad.1779@yandex.ru,POINT (37.7551684 55.6860823)
696, Государственное бюджетное образовательное учреждение города Москвы детский сад № 2638, ГБОУ детский сад № 2638,"2 638", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117624, г.Москва, ул. Изюмская, д. 35, корп. 1",(499)793-93-18, gou2638@mosuzedu.ru,POINT (37.570092 55.55228)
697, Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 671, ГБОУ детский сад № 671,"671", Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Юго-Восточное окружное управление образования," 109548, г. Москва, ул.Шоссейная, д. 15",(495) 353-40-85, ds 671 @ yandex. ru,POINT (37.7276714 55.6879305)
698, Государственное бюджетное образовательное учреждение города Москвы Центр развития ребенка - детский сад № 2593, ГОУ ЦРР - детский сад № 2593,"2 593", Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Южное окружное управление образования," 115522 г. Москва.ул. Москворечье.д.4,к.4",(499) 725-23-70, dou2593@sinergi.ru,POINT (37.651696 55.643206)
699, Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 77, ГБОУ детский сад № 77, 77, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Западное окружное управление образования," 121108, г. Москва, ул. Герасима Курина, д. 30, корпус 2",(499) 144-07-75, detskysad77@mail.ru,POINT (37.4666248 55.7312392)
700, Государственное бюджетное образовательное учреждение города Москвы детский сад № 910, ГБОУ детский сад № 910,"910", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Восточное окружное управление образования," 109428, Москва, ул. 3-я Институтская, д. 6, корп. 2",(499) 171-08-20, gou.ds910@rambler.ru,POINT (37.7840846 55.7210609)
701, Государственное бюджетное образовательное учреждение города Москвы детский сад № 228, ГБОУ детский сад № 228,"228", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117186, г.Москва, улица Нагорная, дом 28, корп.2","127-22-73", ds577@mosuzedu.ru,POINT (37.5966198 55.676058)
702, Государственное бюджетное образовательное учреждение города Москвы детский сад № 1389, ГБОУ детский сад № 1389,"1 389", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северное окружное управление образования," 127474, г. Москва, улица Дубнинская, дом 49А",(499) 489-10-39, kozemakina71@mail.ru,POINT (37.558918 55.87149369999999)
703, Государственное бюджетное образовательное учреждение города Москвы детский сад № 946, ГБОУ детский сад № 946,"946", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117216, г.Москва, ул. Старокачаловская, д. 1Г","8-495-711-37-90", gou1985@mosuzedu.ru,POINT (37.5849284 55.5671313)
704, Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 629, ГБОУ детский сад №629,"629", Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Северное окружное управление образования," 127238, г. Москва, Дмитровское шоссе, дом 52, корпус 2А ; Стр.-1",(495) 488-69-63, Glukhova@mail.ru,POINT (37.570528 55.84787499999999)
705, Государственное бюджетное образовательное учреждение города Москвы детский сад № 1831, ГБОУ детский сад №1831,"1 831", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Центральное окружное управление образования," 103051 г.Москва, ул. Трубная, 31",(495) 608-09-89, det-1831@yandex.ru,POINT (37.6246796 55.7722945)
706, Государственное бюджетное образовательное учреждение города Москвы детский сад № 781, ГБОУ детский сад № 781,"781", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 105122, г. Москва, Амурская, 18",(495) 462-54-77, ds781@mail.ru,POINT (37.76638579999999 55.808539)
719, Государственное бюджетное образовательное учреждение города Москвы детский сад № 665, ГБОУ детский сад № 665,"665", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северо-Восточное окружное управление образования," 127282 город Москва, Студеный проезд, дом 10Б",(499) 479-62-26, det-665@rambler.ru,POINT (37.6574867 55.8918389)
707," Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 2380 ""Жемчужинка"""," ГБОУ ЦРР - детский сад № 2380 ""Жемчужинка""","2 380", Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Северо-Западное окружное управление образования," 125464, г. Москва, Пятницкое ш., д. 16, к.3",(495) 759-37-76,  dou2380@szouo.ru,POINT (37.3865165 55.8424843)
708, Государственное бюджетное образовательное учреждение города Москвы Центр развития ребенка - детский сад № 2548, ГБОУ ЦРР - детский сад № 2548,"2 548", Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Центральное окружное управление образования," 123022, г.Москва, Большая Декабрьская ул., д.1А",(499) 253-38-82, 2548detsadik@mail.ru,POINT (37.5590206 55.7649513)
709, Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1703, ГБОУ детский сад № 1703,"1 703", Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Южное окружное управление образования," 115569 г. Москва ул. Маршала Захарова, д.11 к.2",(495) 390-45-68, dou1703@sinergi.ru,POINT (37.704329 55.622044)
710, Государственное бюджетное образовательное учреждение города Москвы детский сад №327, ГБОУ детский сад № 327,"327", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 105037,г.Москва, ул.Первомайская, д.4","165-50-01", sad954@yandex.ru,POINT (37.7713426 55.7900934)
711, Государственное бюджетное образовательное учреждение города Москвы детский сад № 140, ГБОУ детский сад № 140,"140", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 105187, г.Москва,ул.Зверинецкая, д.31 А",(499) 369-58-78, ds140@inbox.ru,POINT (37.7379681 55.785066)
712, Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 200, ГБОУ детский сад № 200,"200", Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Западное окружное управление образования," 121354, г.Москва, Можайское шоссе, д. 38, корп. 6",(495) 446-17-22, gou200@bk.ru,POINT (37.4098053 55.7192897)
713, Государственное бюджетное образовательное учреждение города Москвы детский сад №522, ГБОУ детский сад №522,"522", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 107589,г.Москва,ул.Красноярская,д.17а",(495) 467-75-01, detsad522@yandex.ru,POINT (37.8266598 55.8269244)
714, Государственное бюджетное образовательное учреждение города Москвы детский сад № 1752, ГБОУ детский сад № 1752,"1 752", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Южное окружное управление образования," 115580 г. Москва, ул. Мусы Джалиля, д.9, к.2",(495) 395-03-77, dou1752@sinergi.ru,POINT (37.7449897 55.6275627)
715, Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 1755, ГБОУ детский сад № 1755,"1 755", Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Западное окружное управление образования," 119633 г. Москва, ул. Приречная, д. 9",(495) 731-26-99, detsad1755@mail.ru,POINT (37.3707165 55.6453554)
716, Государственное бюджетное образовательное учреждение города Москвы детский сад № 1380, ГБОУ детский сад № 1380,"1 380", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117465, г. Москва, ул. Теплый Стан, д.15, корп.10","339-64-12", dou1380@ou.mosuzedu.ru,POINT (37.4877877 55.6236364)
717, Государственное бюджетное образовательное учреждение города Москвы детский сад № 2671, ГБОУ детский сад № 2671,"2 671", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 107497, Москва,Щелковское шоссе, дом 91, стр 2",(499) 966-65-98, 2671sad@mail.ru,POINT (37.8264918 55.8135692)
718, Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2301, ГБОУ детский сад № 2301,"2 301", Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Восточное окружное управление образования," 107589,г.Москва,ул.Красноярская д.3,корп.3",(495) 466-03-74, detsad2301vouo@gmail.com,POINT (37.8326728 55.8185221)
720, Государственное бюджетное образовательное учреждение города Москвы детский сад № 218, ГБОУ детский сад № 218,"218", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северо-Восточное окружное управление образования," 127543 город Москва, улица Корнейчука, дом 42А",(499) 205-10-61, 218d-s@mail.ru,POINT (37.6302344 55.8962572)
721, Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 105, ГБОУ детский сад № 105,"105", Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северо-Западное окружное управление образования," 123154, г. Москва, ул. Маршала Тухачевского, д. 39, к.2",(499) 199-47-15,  dou67@szouo.ru,POINT (37.4684204 55.78285839999999)
722, Государственное бюджетное образовательное учреждение города Москвы детский сад № 950, ГБОУ детский сад № 950,"950", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Восточное окружное управление образования," 109388, Москва, улица Гурьянова, дом 47",(495) 353-61-02, gou950@yandex.ru; gboy950@yandex.ru,POINT (37.7201265 55.6820793)
723, Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 382, ГБОУ детский сад № 382,"382", Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Южное окружное управление образования," 115162 г. Москва ул. Городская, д.7",(499) 764-77-59, dou1084@sinergi.ru,POINT (37.6187913 55.71565520000001)
724, Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1324, ГБОУ детский сад № 1324,"1 324", Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Восточное окружное управление образования," 107589, г. Москва, ул.Алтайская, д.34 а",(495) 469-13-21, ds1324@mail.ru,POINT (37.8315108 55.81896219999999)
725, Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида с приоритетным осуществлением деятельности по художественно-эстетическому развитию детей № 932, ГБОУ детский сад общеразвивающего вида № 932,"932", Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Северо-Восточное окружное управление образования," 127549, г.Москва, ул.Мурановская, д. 6 А",(499) 206-47-47, dousv-932@mail.ru,POINT (37.6024248 55.8918401)
726, Государственное бюджетное образовательное учреждение города Москвы детский сад № 2492, ГБОУ детский сад № 2492,"2 492", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Восточное окружное управление образования, 109559 г. Москва ул. Маршала Кожедуба д.6 кор.2,(495) 658-64-64, anz8811@yandex.ru,POINT (37.7884956 55.668436)
727, Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1896, ГБОУ детский сад № 1896,"1 896", Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Восточное окружное управление образования," 111402, г. Москва, ул. Старый гай, д. 12 А",(495) 375-98-95, ) 189632007@mail.ru,POINT (37.8265838 55.7388734)
728, Государственное бюджетное образовательное учреждение города Москвы детский сад №1559, ГБОУ детский сад № 1559,"1 559", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 111558,г.Москва, Федеративный проспект, дом 45",(495) 302-22-85, ds1559@mail.ru,POINT (37.82898369999999 55.7536376)
729, Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1278, ГБОУ детский сад № 1278,"1 278", Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северное окружное управление образования," 127486, г. Москва, Дегунинская улица, дом 13А",(499) 488-55-33, detsad1278@mail.ru,POINT (37.5340187 55.8651383)
730, Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2264, ГБОУ детский сад № 2264,"2 264", Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северо-Западное окружное управление образования," 125430, г. Москва, Пятницкое шоссе, дом 29, корпус 4",(495) 751-73-41,  dou2264@szouo.ru,POINT (37.3606852 55.8500379)
811, Государственное бюджетное образовательное учреждение города Москвы детский сад № 2424, ГБОУ детский сад № 2424,"2 424", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Восточное окружное управление образования," 109341, г. Москва, ул. Перерва, дом 49, корп. 2",(495) 347-57-11, ds2424@mail.ru,POINT (37.7501621 55.66164569999999)
731, Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида с приоритетным осуществлением деятельности по художественно-эстетическому развитию детей № 735, ГБОУ детский сад № 735,"735", Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Центральное окружное управление образования," 115093 г. Москва, ул. Б.Серпуховская, д.31",(499) 236-85-90, rytikova.va@gmail.com,POINT (37.6291138 55.7226627)
732, Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2125, ГБОУ детский сад № 2125,"2 125", Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Юго-Восточное окружное управление образования," 109378, Москва, ул. Шумилова д.14, к.2",(499) 175-83-74, sadik2125@yandex.ru,POINT (37.7738386 55.70692219999999)
733, Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 1194, ГБОУ ЦРР-детский сад № 1194,"1 194", Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Северо-Восточное окружное управление образования," 127562, г. Москва, Алтуфьевское шоссе, 18Б",(499) 201-06-00, dousv1194@yandex.ru; detsad1194@mail.ru,POINT (37.5878863 55.85906809999999)
734, Государственное бюджетное образовательное учреждение города Москвы детский сад №2614, ГБОУ детский сад №2614,"2 614", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 111674, г. Москва, ул. Лухмановская, д.30А",(499) 797-34-80, ds-2614@mail.ru,POINT (37.9093754 55.7214913)
735, Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 1138, ГБОУ детский сад общеразвивающего вида № 1138,"1 138", Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Юго-Восточное окружное управление образования," 109507, г. Москва, Самаркандский бульвар, дом 17, корпус 1",(495) 377-47-06, dsad1138@yandex.ru,POINT (37.8144385 55.69623439999999)
736, Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида №2616, ГБОУ детский сад №2616,"2 616", Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Восточное окружное управление образования," 111674, Москва, ул. Лухмановская,д. 13А",(499) 797-41-07, ds2616@mail.ru,POINT (37.896714 55.7204922)
737, Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2250, ГБОУ детский сад № 2250,"2 250", Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Восточное окружное управление образования," 105484, г.Москва, Сиреневый бул., д.69А",(495) 468-00-16, detsad2250@yandex.ru,POINT (37.8251833 55.80545009999999)
738, Государственное бюджетное образовательное учреждение города Москвы детский сад № 847, ГБОУ детский сад № 847,"847", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северо-Восточное окружное управление образования," 129337, город Москва, Ярославское шоссе, дом 8, корпус 5",(499) 183-06-00, gouds847@mail.ru,POINT (37.6886056 55.8533528)
739, Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 37, ГБОУ детский сад № 37, 37, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Центральное окружное управление образования," 129010 г. Москва, ул. Большая Спасская, д.10/1",(495) 680-00-37, ds37krasnoselo@mail.ru,POINT (37.6468537 55.7758584)
740, Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1058, ГБОУ детский сад № 1058,"1 058", Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Северное окружное управление образования," 125252, г. Москва, улица Зорге, дом 10, корпус 3",(499) 943-14-05, zpr1058@mail.ru,POINT (37.5121279 55.7823741)
741, Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 1903, ГБОУ детский сад № 1903,"1 903", Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Северо-Западное окружное управление образования," 125459, г. Москва, ул. Туристская, д. 19, корп. 6.",(495) 948-29-38,  dou1903@szouo.ru,POINT (37.41610319999999 55.8532328)
742, Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1711, ГБОУ детский сад № 1711,"1 711", Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Южное окружное управление образования," 117587 г. Москва, ул.Кировоградская, д.5а",(495) 316-76-88, dou1711@sinergi.ru,POINT (37.6138239 55.628184)
743, Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 696, ГБОУ детский сад № 696,"696", Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северо-Восточное окружное управление образования," 129346, Москва, улица Минусинская, дом 16 корпус 2",(495) 474-25-61, gou696@rambler.ru,POINT (37.693188 55.87515)
744, Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1478, ГБОУ детский сад № 1478,"1 478", Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Западное окружное управление образования," 121609, г.Москва, ул. Крылатские холмы, д. 25, корп. 2",(495) 412-23-24, dou1478@mail.ru,POINT (37.414288 55.757508)
745, Государственное бюджетное образовательное учреждение города Москвы детский сад № 2415, ГБОУ детский сад № 2415,"2 415", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117437, г.Москва, ул.Академика Волгина, д.14/2","330-09-73"," dou2415@ou.mosuzedu.ru,; ds2415@mail.ru",POINT (37.5029221 55.642607)
746, Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 521, ГБОУ детский сад № 521,"521", Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Центральное окружное управление образования," 123557 г.Москва, Зоологический переулок, д.10",(499) 253-76-84, kinder_garten@mail.ru,POINT (37.5735363 55.76550049999999)
747, Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2571, ГБОУ детский сад № 2571,"2 571", Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Западное окружное управление образования," 121352, г.Москвва, Славянский бульвар, д. 13, корп. 2",(499) 792-67-34, dsad2571@inbox.ru,POINT (37.464773 55.7250252)
748, Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 1724, ГБОУ детский сад № 1724,"1 724", Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Южное окружное управление образования," 115597 г. Москва, ул. Ясеневая, 42 корп.2",(495) 397-96-45, dou1724@sinergi.ru,POINT (37.7478202 55.6088906)
749, Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 2662, ГБОУ ЦРР - детский сад № 2662,"2 662", Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Северо-Западное окружное управление образования," 123423, г. Москва, Проспект Маршала Жукова, д. 43, к.4",(499) 199-10-43,  DOU2662@szouo.ru;  fokeeva182@yandex.ru; natasha207@yandex.ru; lidia1887@yandex.ru; olga1887@yandex.ru,POINT (37.4683814 55.7758794)
750, Государственное бюджетное образовательное учреждение города Москвы детский сад № 2696, ГБОУ детский сад № 2696,"2 696", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Западное окружное управление образования," 119192 г.Москва, Мичуринский проспект, д. 10",(499) 739-32-42, sad2696@mail.ru,POINT (37.508472 55.70459899999999)
751, Государственное бюджетное образовательное учреждение города Москвы детский сад № 1008, ГБОУ детский сад № 1008,"1 008", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 111531,город Москва,улица Саянская, дом 13Б",(495) 307-20-71, sad1008vao@mail.ru,POINT (37.8356365 55.77029539999999)
752, Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 820, ГБОУ детский сад № 820,"820", Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Северо-Восточное окружное управление образования," 127349, город Москва, улица Мурановская, дом 7А",(499) 206-62-88, dou820@yandex.ru,POINT (37.59616279999999 55.8922879)
753, Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида с приоритетным осуществлением деятельности по художественно- эстетическому развитию детей № 1144, ГБОУ детский сад № 1144,"1 144", Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Центральное окружное управление образования," 123104 г. Москва, Малая Бронная ул., д.13, стр.2",(495) 690-63-39, detskysad@bk.ru,POINT (37.5960349 55.75984800000001)
754, Государственное бюджетное образовательное учреждение города Москвы детский сад № 363, ГБОУ детский сад № 363,"363", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Южное окружное управление образования," 115162 г.Москва, ул.Хавская, д.10",(499) 236-04-66, dou363@sinergi.ru,POINT (37.6124155 55.7189514)
755, Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1372, ГБОУ детский сад № 1372,"1 372", Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Северо-Восточное окружное управление образования," 129075, город Москва, улица Аргуновская, дом 16, корпус 3",(495) 615-49-46, logosad1372@mail.ru; buh-ds1372@mail.ru,POINT (37.6234938 55.8187126)
756, Государственное бюджетное образовательное учреждение города Москвы детский сад № 990, ГБОУ детский сад № 990,"990", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Южное окружное управление образования," 117570, г. Москва, ул. Красного Маяка, д.13-г",(495) 387-36-00, dou990@sinergi.ru,POINT (37.575805 55.60993999999999)
757," Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 2177 ""Росток"""," ГБОУ детский сад № 2177 ""Росток""","2 177", Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Северо-Западное окружное управление образования," 123060, г. Москва, ул. Маршала Соколовского, д. 8",(499) 190-49-29, 2177rostok@mail.ru; dou2177@szouo.ru,POINT (37.4883753 55.7935767)
758, Государственное бюджетное образовательное учреждение города Москвы детский сад № 1987, ГБОУ детский сад № 1987,"1 987", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117133, г. Москва, ул. Академика Варги, д. 28 А",(495)338-68-00, dou1987@mosuzedu.ru,POINT (37.4739158 55.6336188)
759, Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 970, ГБОУ детский сад № 970,"970", Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Восточное окружное управление образования," 105554, г. Москва, 11-я Парковая ул., д. 5 а",(499) 463-10-90, detcad970@yandex.ru,POINT (37.804024 55.7905135)
760, Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2363, ГБОУ детский сад № 2363,"2 363", Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Юго-Восточное окружное управление образования," 109431, г.Москва, ул.Авиаконструктора Миля, дом 22, корпус 2",(495) 704-08-89, dsad2363@gmail.com,POINT (37.85613499999999 55.679261)
761, Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2099, ГБОУ детский сад № 2099,"2 099", Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Юго-Восточное окружное управление образования," 109388, г. Москва, ул. Гурьянова, д. 63",(495) 353-92-70, ds2099@uvuo.ru,POINT (37.7192555 55.67916409999999)
762, Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1026, ГБОУ детский сад № 1026,"1 026", Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Северное окружное управление образования," 127247, г. Москва, улица Софьи Ковалевской, д.4, к. 1",(495) 484-23-22, bol.olga52@mail.ru,POINT (37.5348344 55.87681980000001)
